agent,n_seeds,skill_mean,skill_ci_low,skill_ci_high,external_return_mean,external_return_ci_low,external_return_ci_high,learning_progress_mean,learning_progress_ci_low,learning_progress_ci_high,easy_ratio_mean,easy_ratio_ci_low,easy_ratio_ci_high,challenge_ratio_mean,challenge_ratio_ci_low,challenge_ratio_ci_high,noisy_tv_ratio_mean,noisy_tv_ratio_ci_low,noisy_tv_ratio_ci_high,treadmill_ratio_mean,treadmill_ratio_ci_low,treadmill_ratio_ci_high,impossible_ratio_mean,impossible_ratio_ci_low,impossible_ratio_ci_high,meaningless_suffering_ratio_mean,meaningless_suffering_ratio_ci_low,meaningless_suffering_ratio_ci_high,boredom_rate_mean,boredom_rate_ci_low,boredom_rate_ci_high,challenge_appropriateness_error_mean,challenge_appropriateness_error_ci_low,challenge_appropriateness_error_ci_high,mean_selected_challenge_difficulty_mean,mean_selected_challenge_difficulty_ci_low,mean_selected_challenge_difficulty_ci_high,total_damage_mean,total_damage_ci_low,total_damage_ci_high
difficulty,50,1.12,1.12,1.12,1761.7,1740.258,1782.98,1.04,1.04,1.04,0.009535,0.00894995,0.010155025000000002,0.085891,0.084894875,0.08703402499999999,0.437355,0.34428594999999995,0.5351021,0.467219,0.37166580000000005,0.559188775,0.0,0.0,0.0,0.467219,0.3705597500000001,0.556515325,0.074721,0.07382375000000001,0.07569215,0.4546806458102974,0.4544837952712665,0.4548566010725783,0.5577633924794452,0.5507174526790521,0.5646782082713016,0.0,0.0,0.0
extrinsic,50,1.12,1.12,1.12,19545.36,19537.838,19553.28,1.04,1.04,1.04,0.020795999999999995,0.016681575000000004,0.02523195,0.963546,0.95899755,0.967682425,0.007876000000000001,0.007727,0.008020000000000001,0.007782,0.00760795,0.007953025,0.0,0.0,0.0,0.007782,0.007596975,0.007954999999999999,0.959661,0.9588920000000002,0.9604530250000001,0.5430514823601962,0.5427761843309998,0.5433029297740164,0.23656565567184423,0.22431140692708482,0.24930373365293743,0.0,0.0,0.0
hiro,50,1.12,1.12,1.12,15612.3,15569.3365,15657.0485,1.04,1.04,1.04,0.010993,0.010483000000000003,0.011551075000000001,0.973055,0.9724699999999998,0.973620175,0.007994999999999999,0.007822975,0.008164024999999998,0.007956999999999999,0.007764,0.008135024999999999,0.0,0.0,0.0,0.007956999999999999,0.007772,0.008143000000000001,0.11108199999999999,0.10221679999999998,0.12077964999999999,0.3467836962830119,0.34478940639448336,0.3489802842218236,0.9365039757490401,0.9294278354161978,0.9424501207549526,0.0,0.0,0.0
hiro_additive_effort,50,1.12,1.12,1.12,7397.6,7188.376,7602.9755,1.04,1.04,1.04,0.009668999999999999,0.009189925,0.01019605,0.447391,0.43469377499999995,0.45999845,0.007973000000000001,0.007783000000000001,0.008165,0.534967,0.5217948,0.54847825,0.0,0.0,0.0,0.534967,0.52154275,0.5482281250000001,0.091606,0.0870277,0.09651699999999998,0.4105645109359206,0.4086988328457185,0.41243430464256725,0.9002060434127748,0.8950347812662867,0.905156792225815,0.0,0.0,0.0
hiro_no_challenge,50,1.12,1.12,1.12,18736.16,18685.2575,18787.421499999997,1.04,1.04,1.04,0.010757999999999998,0.01010895,0.011443099999999998,0.9725729999999999,0.97173685,0.9733671,0.008020000000000001,0.007836975,0.008223125000000001,0.008649,0.008244925,0.009047999999999999,0.0,0.0,0.0,0.008649,0.008264849999999999,0.009069025,0.7976679999999999,0.7857040999999998,0.809043375,0.5038417454114035,0.5010222694957139,0.5065521123432913,0.5096565027040807,0.5013621807151689,0.5179030490680395,0.0,0.0,0.0
hiro_no_external,50,1.12,1.12,1.12,19451.74,19438.397,19464.640499999998,1.04,1.04,1.04,0.021632000000000002,0.019638874999999997,0.0238886,0.9625559999999999,0.9602886500000001,0.9646051499999999,0.007914,0.00771095,0.008114,0.007897999999999999,0.0077389749999999995,0.00805,0.0,0.0,0.0,0.007897999999999999,0.0077339999999999996,0.008055025,0.9467230000000001,0.9442299000000001,0.9491033999999998,0.539052113470686,0.538414971943287,0.5396742631929553,0.3167067411572087,0.311459281369899,0.3220512346464255,0.0,0.0,0.0
hiro_no_lp,50,1.12,1.12,1.12,2236.7,2169.6565,2300.8705,1.04,1.04,1.04,0.010112000000000001,0.009626975000000001,0.010654175000000002,0.11281600000000001,0.10898260000000001,0.1167681,0.8689969999999999,0.865034125,0.87296205,0.008075,0.007866,0.008296075,0.0,0.0,0.0,0.008075,0.00786095,0.008282,0.081973,0.08048394999999998,0.083478525,0.4536600136411616,0.4531345445356948,0.45418642515174756,0.600719188533565,0.585714763745639,0.614130959975261,0.0,0.0,0.0
hiro_no_safety,50,1.12,1.12,1.12,15491.72,15445.798499999999,15545.994499999999,1.04,1.04,1.04,0.010721000000000001,0.010192,0.011275,0.9669840000000001,0.966386975,0.967556175,0.00745,0.007274,0.007636,0.0074069999999999995,0.007250000000000001,0.007561025,0.007437999999999999,0.0072299999999999994,0.007657999999999999,0.014845000000000002,0.014573000000000001,0.015131025000000001,0.105916,0.09659014999999999,0.117146675,0.34661120923273314,0.3445657178814366,0.3491053907120269,0.9384968133315426,0.930737794739439,0.9451245492421068,11.900800000000011,11.564800000000009,12.21600000000001
novelty,50,1.12,1.12,1.12,19426.14,19414.68,19436.821,1.04,1.04,1.04,0.033968000000000005,0.0319161,0.036210025,0.947267,0.944906525,0.9494782,0.009471,0.009147,0.00981605,0.009294,0.008938974999999998,0.009655025,0.0,0.0,0.0,0.009294,0.008917999999999999,0.009662025,0.957111,0.9562069749999998,0.958058025,0.5406169577820161,0.5404444645364835,0.5407757545825468,0.3332533271435174,0.3290711064406048,0.3373080474993796,0.0,0.0,0.0
suffering,50,1.12,1.12,1.12,2353.24,2270.8360000000002,2423.7005,1.04,1.04,1.04,0.009573,0.009098975,0.010104125000000002,0.11719900000000001,0.113114875,0.1210378,0.008008999999999999,0.007806975,0.008211000000000001,0.8652190000000001,0.8611177249999998,0.8694053249999999,0.0,0.0,0.0,0.8652190000000001,0.861100825,0.8693373,0.098306,0.09411372500000001,0.102305025,0.4559356806141795,0.4552084008888185,0.4565925230000152,0.5849148931115761,0.567283211957279,0.601844565814675,0.0,0.0,0.0
