agent,n_seeds,skill_mean,skill_ci_low,skill_ci_high,external_return_mean,external_return_ci_low,external_return_ci_high,learning_progress_mean,learning_progress_ci_low,learning_progress_ci_high,easy_ratio_mean,easy_ratio_ci_low,easy_ratio_ci_high,challenge_ratio_mean,challenge_ratio_ci_low,challenge_ratio_ci_high,noisy_tv_ratio_mean,noisy_tv_ratio_ci_low,noisy_tv_ratio_ci_high,treadmill_ratio_mean,treadmill_ratio_ci_low,treadmill_ratio_ci_high,impossible_ratio_mean,impossible_ratio_ci_low,impossible_ratio_ci_high,meaningless_suffering_ratio_mean,meaningless_suffering_ratio_ci_low,meaningless_suffering_ratio_ci_high,boredom_rate_mean,boredom_rate_ci_low,boredom_rate_ci_high,challenge_appropriateness_error_mean,challenge_appropriateness_error_ci_low,challenge_appropriateness_error_ci_high,mean_selected_challenge_difficulty_mean,mean_selected_challenge_difficulty_ci_low,mean_selected_challenge_difficulty_ci_high,total_damage_mean,total_damage_ci_low,total_damage_ci_high
difficulty,50,0.6341086080059113,0.5984466586578414,0.6704256976235523,957.178000000002,812.4733249999898,1123.4134000000154,0.5541086080059113,0.5185744859343828,0.5920059479765609,0.012339,0.009215,0.01653915,0.25189900000000004,0.23516304999999998,0.27000917499999993,0.366361,0.29479637500000005,0.43705530000000004,0.36940100000000003,0.298029975,0.445070375,0.0,0.0,0.0,0.36940100000000003,0.29411964999999995,0.44259402499999995,0.013094000000000001,0.009888450000000002,0.0179331,0.3778511978770011,0.37221829903891074,0.3829500361907485,0.6594615264579988,0.6431594157484557,0.6756062027942189,0.0,0.0,0.0
extrinsic,50,0.47682996814515816,0.43944870031029587,0.514961603946946,16430.616999998856,16022.516524998506,16818.46594999917,0.39682996814515803,0.36085722711552465,0.43312215907417595,0.7158960000000001,0.66007315,0.766612525,0.268499,0.21819867499999998,0.32651427499999996,0.00782,0.007672000000000001,0.00796805,0.007785000000000001,0.00761595,0.007958999999999999,0.0,0.0,0.0,0.007785000000000001,0.007597,0.007955,0.7177760000000001,0.662501125,0.7698504000000002,0.37737914465786715,0.36272120610569625,0.3926829902664289,0.3503210599445658,0.3219685598948578,0.38093899860107133,0.0,0.0,0.0
hiro,50,1.12,1.12,1.12,9895.799999997327,9838.31344999731,9956.574899997358,1.04,1.04,1.04,0.04712299999999999,0.04248347499999999,0.05217562499999999,0.9372530000000002,0.93228905,0.9419754499999999,0.007796999999999998,0.007645000000000001,0.007962,0.007826999999999999,0.007652000000000001,0.007992,0.0,0.0,0.0,0.007826999999999999,0.007653000000000001,0.00799005,0.068169,0.06356157500000001,0.073695775,0.32122539089894225,0.31877755998993246,0.32348313410419266,0.7804541562926502,0.7738706006950848,0.7871093419736166,0.0,0.0,0.0
hiro_additive_effort,50,0.7859187291142856,0.7397165955373274,0.8348863940850814,4252.386999999557,3513.383849999773,4989.379999999418,0.7059187291142857,0.6566922930137141,0.7534115322215161,0.027362,0.01738055,0.040149449999999996,0.48869100000000004,0.43046000000000006,0.5506104499999999,0.008269,0.007971975,0.00857305,0.475678,0.412229725,0.53800445,0.0,0.0,0.0,0.475678,0.41075459999999997,0.5374321249999999,0.042234,0.030380025,0.056735125,0.4149902112356756,0.40396695136842764,0.4256602426765312,0.5287191145669236,0.5003121914463894,0.5563342016971788,0.0,0.0,0.0
hiro_no_challenge,50,0.7416311193872738,0.7036869079750053,0.7755767894377943,12901.447999997208,12513.171499997023,13277.311599997478,0.6616311193872737,0.6238780707841551,0.6980645015885559,0.352406,0.30822525,0.3988781249999999,0.5960389999999999,0.550430625,0.6413477,0.00878,0.008314974999999999,0.00936615,0.042775,0.032506875,0.05337074999999998,0.0,0.0,0.0,0.042775,0.03200692499999999,0.053446824999999996,0.364928,0.321277425,0.4090616250000001,0.44699348513548154,0.4408789191848843,0.453135123629205,0.3112421715985458,0.2981205622356452,0.32658671185591076,0.0,0.0,0.0
hiro_no_external,50,0.6634787495058982,0.6154264039216184,0.7118141292027415,15249.32799999827,14786.33877499783,15685.961099998658,0.5834787495058983,0.5366937392040341,0.6327722088586123,0.5686720000000001,0.509801825,0.6295253749999999,0.41581,0.3553917500000001,0.47536199999999995,0.0077729999999999995,0.007610000000000001,0.007940025,0.007744999999999999,0.007567974999999999,0.007923025,0.0,0.0,0.0,0.007744999999999999,0.00757295,0.007909025,0.5765150000000001,0.5201173,0.6310359999999999,0.40254413172856784,0.38903998807444146,0.41633762879928404,0.32553575159433534,0.3064399243376173,0.3444899870199859,0.0,0.0,0.0
hiro_no_lp,50,0.9734272865090486,0.935013980848247,1.0129829725278627,4120.047999999947,3695.849125000015,4544.854524999964,0.8934272865090485,0.8531225524107866,0.9331032075063704,0.02445,0.017824800000000002,0.032498225,0.507779,0.467511725,0.5503330249999999,0.4593789999999999,0.4178735500000001,0.49902474999999996,0.008392,0.007941,0.008973024999999999,0.0,0.0,0.0,0.008392,0.007936,0.00896015,0.035214999999999996,0.0287406,0.0432796,0.3848526747863324,0.37518162375913566,0.3939308453677568,0.5931951886374653,0.5647634607590006,0.6200721920003581,0.0,0.0,0.0
hiro_no_safety,50,1.12,1.12,1.12,9876.708999997294,9819.547999997372,9936.496624997266,1.04,1.04,1.04,0.04848499999999999,0.043665975,0.05344144999999999,0.9295029999999999,0.9247448500000001,0.93400515,0.007379,0.007221,0.007538999999999999,0.007262999999999999,0.007111000000000001,0.007415999999999999,0.007369999999999999,0.007197,0.007546000000000001,0.014633,0.014397974999999999,0.014871025000000001,0.067404,0.062723,0.07219154999999998,0.3234207936236158,0.31976888966185696,0.3275536867802945,0.7683126365301044,0.7556108933725709,0.779839024167606,11.792000000000012,11.513560000000005,12.097640000000009
novelty,50,0.5221071045815546,0.4853976816126722,0.5567609526177293,15869.032999998957,15485.597549998716,16237.911474999153,0.44210710458155456,0.40719908265338006,0.4781849972066145,0.692565,0.642328275,0.737396125,0.282454,0.23719142499999996,0.32766575,0.013094,0.010754125000000002,0.015446299999999996,0.011886999999999998,0.010137875000000001,0.014097674999999994,0.0,0.0,0.0,0.011886999999999998,0.010182949999999998,0.014029774999999994,0.694255,0.6487394,0.7387245250000002,0.38768768704742745,0.3757266994437985,0.400628721180172,0.3861084194172435,0.35811774285464715,0.4126777966707401,0.0,0.0,0.0
suffering,50,0.6887454062990115,0.6534143027454484,0.7274397152790802,2563.7629999999986,2086.7407750000375,3033.4185249999505,0.6087454062990115,0.5743194271767955,0.6452902916283078,0.020706,0.014531825,0.02847345,0.36197,0.3228628500000001,0.40295164999999994,0.00812,0.007909000000000001,0.008339,0.609204,0.5640973499999999,0.64843005,0.0,0.0,0.0,0.609204,0.564798325,0.6488342000000001,0.026231,0.0192107,0.03436834999999999,0.40601305094441,0.39873564507928355,0.413786058619465,0.5497636361088919,0.5250659970857885,0.5739478586884892,0.0,0.0,0.0
